GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P003001,P003001.2000,P003002,P003002.2000,P003003,P003003.2000,P003004,P003004.2000,P003005,P003005.2000,P003006,P003006.2000,P003007,P003007.2000,P003008,P003008.2000
3400578200,060,34,005,37980,428,99999,999,Westampton township,8813,3291,7217,2581,8813,7217,5376,5110,2243,1535,17,20,608,219,3,3,199,132,367,198
3400581440,060,34,005,37980,428,99999,999,Willingboro township,31629,11442,33008,11124,31629,33008,5475,8144,23007,22021,117,99,635,562,10,12,988,866,1397,1304
3400582420,060,34,005,37980,428,99999,999,Woodland township,1788,494,1170,448,1788,1170,1602,1147,145,7,1,1,15,4,0,0,8,2,17,9
3400582960,060,34,005,37980,428,99999,999,Wrightstown borough,802,348,748,339,802,748,380,373,169,226,6,4,48,54,3,0,150,54,46,37
3400702200,060,34,007,37980,428,99999,999,Audubon borough,8819,3779,9182,3813,8819,9182,8398,8938,127,48,12,10,100,82,1,1,80,44,101,59
3400702230,060,34,007,37980,428,99999,999,Audubon Park borough,1023,499,1102,499,1023,1102,1002,1090,3,4,1,1,3,2,0,0,1,1,13,4
3400703250,060,34,007,37980,428,99999,999,Barrington borough,6983,3158,7084,3164,6983,7084,6254,6490,358,295,16,17,118,102,0,3,102,76,135,101
3400704750,060,34,007,37980,428,99999,999,Bellmawr borough,11583,4883,11262,4561,11583,11262,10012,10450,285,133,17,7,679,344,7,2,392,173,191,153
3400705440,060,34,007,37980,428,99999,999,Berlin borough,7588,2949,6149,2275,7588,6149,6865,5784,318,134,7,13,211,104,3,4,67,30,117,80
3400705470,060,34,007,37980,428,99999,999,Berlin township,5357,2069,5290,2009,5357,5290,4135,4362,620,628,10,9,275,143,0,4,203,64,114,80
3400708170,060,34,007,37980,428,99999,999,Brooklawn borough,1955,806,2354,1025,1955,2354,1718,2125,104,101,2,2,43,25,0,0,40,56,48,45
3400710000,060,34,007,37980,428,99999,999,Camden city,77344,28358,79904,29769,77344,79904,13602,13454,37180,42628,588,435,1637,1958,48,59,21323,18239,2966,3131
3400712280,060,34,007,37980,428,99999,999,Cherry Hill township,71045,28452,69965,27074,71045,69965,55459,59240,4360,3121,78,71,8304,6205,13,24,1302,491,1529,813
3400712550,060,34,007,37980,428,99999,999,Chesilhurst borough,1634,621,1520,535,1634,1520,692,568,758,851,7,3,14,5,0,0,114,44,49,49
3400713420,060,34,007,37980,428,99999,999,Clementon borough,5000,2235,4986,2206,5000,4986,3564,4100,956,577,28,11,105,46,0,9,195,117,152,126
3400714260,060,34,007,37980,428,99999,999,Collingswood borough,13926,6822,14326,6866,13926,14326,11388,12388,1268,955,45,48,307,395,2,3,559,346,357,191
3400726070,060,34,007,37980,428,99999,999,Gibbsboro borough,2274,809,2435,847,2274,2435,2106,2289,49,68,0,10,53,26,0,0,20,18,46,24
3400726760,060,34,007,37980,428,99999,999,Gloucester township,64634,24711,64350,24257,64634,64350,48993,53484,10464,7432,129,100,2374,1688,20,16,1183,715,1471,915
3400726820,060,34,007,37980,428,99999,999,Gloucester City city,11456,4712,11484,4604,11456,11484,10370,11155,352,79,16,21,307,78,0,4,209,74,202,73
3400728740,060,34,007,37980,428,99999,999,Haddon township,14707,6477,14651,6423,14707,14651,13701,13980,220,173,23,8,398,294,2,6,163,82,200,108
3400728770,060,34,007,37980,428,99999,999,Haddonfield borough,11593,4634,11659,4620,11593,11659,11040,11247,129,148,4,15,215,131,0,3,50,37,155,78
3400728800,060,34,007,37980,428,99999,999,Haddon Heights borough,7473,3159,7547,3136,7473,7547,7133,7394,84,30,12,8,98,49,5,3,40,20,101,43
3400732220,060,34,007,37980,428,99999,999,Hi-Nella borough,870,420,1029,495,870,1029,624,731,131,198,6,0,35,32,0,0,49,45,25,23
3400758920,060,34,007,37980,428,99999,999,Pine Valley borough,12,22,20,21,12,20,10,20,0,0,0,0,0,0,0,0,2,0,0,0
3400739210,060,34,007,37980,428,99999,999,Laurel Springs borough,1908,771,1970,806,1908,1970,1772,1859,66,54,2,5,19,19,0,0,25,14,24,19
3400739420,060,34,007,37980,428,99999,999,Lawnside borough,2945,1174,2692,1110,2945,2692,124,47,2616,2520,19,27,42,14,0,2,49,13,95,69
3400740440,060,34,007,37980,428,99999,999,Lindenwold borough,17613,8251,17414,8244,17613,17414,8469,10695,6104,4915,78,83,493,614,4,10,1822,564,643,533
3400742630,060,34,007,37980,428,99999,999,Magnolia borough,4341,1850,4409,1836,4341,4409,3243,3395,793,785,13,10,82,41,2,1,96,68,112,109
3400745510,060,34,007,37980,428,99999,999,Merchantville borough,3821,1688,3801,1607,3821,3801,2926,3265,497,282,14,11,87,80,2,0,169,108,126,55
3400748750,060,34,007,37980,428,99999,999,Mount Ephraim borough,4676,2010,4495,1881,4676,4495,4375,4383,100,18,4,3,32,28,0,1,106,29,59,33
3400753880,060,34,007,37980,428,99999,999,Oaklyn borough,4038,1847,4188,1893,4038,4188,3731,4017,100,48,9,9,73,40,1,1,60,35,64,38
3400757660,060,34,007,37980,428,99999,999,Pennsauken township,35885,13275,35737,12945,35885,35737,17081,21479,9644,8641,210,124,2770,1636,15,7,4877,2954,1288,896
3400758770,060,34,007,37980,428,99999,999,Pine Hill borough,10233,4357,10880,4444,10233,10880,6904,8355,2463,1996,27,30,217,153,5,2,246,132,371,212
3400765160,060,34,007,37980,428,99999,999,Runnemede borough,8468,3548,8533,3510,8468,8533,7496,7831,400,321,25,9,223,132,0,1,185,104,139,135
3400768340,060,34,007,37980,428,99999,999,Somerdale borough,5151,2158,5192,2168,5151,5192,3513,3912,978,917,4,11,309,168,1,1,158,56,188,127
3400771220,060,34,007,37980,428,99999,999,Stratford borough,7040,2761,7271,2849,7040,7271,5799,6439,580,480,13,9,297,173,5,1,195,63,151,106
3400772240,060,34,007,37980,428,99999,999,Tavistock borough,5,3,24,7,5,24,5,22,0,2,0,0,0,0,0,0,0,0,0,0
3400776220,060,34,007,37980,428,99999,999,Voorhees township,29131,12260,28126,11084,29131,28126,20908,22011,2534,2249,44,38,4700,3217,11,8,246,156,688,447
