GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
3401961920,060,34,019,35620,408,99999,999,Raritan township,22185,8288,19809,7094,22185,19809
3401962250,060,34,019,35620,408,99999,999,Readington township,16126,6191,15803,5794,16126,15803
3401970980,060,34,019,35620,408,99999,999,Stockton borough,538,259,560,258,538,560
3401972510,060,34,019,35620,408,99999,999,Tewksbury township,5993,2323,5541,2052,5993,5541
3401974420,060,34,019,35620,408,99999,999,Union township,5908,1830,6160,1725,5908,6160
3401978230,060,34,019,35620,408,99999,999,West Amwell township,3840,1157,2383,984,3840,2383
3402119780,060,34,021,45940,408,99999,999,East Windsor township,27190,10851,24919,9880,27190,24919
3402122185,060,34,021,45940,408,99999,999,Ewing township,35790,13926,35707,12924,35790,35707
3402129310,060,34,021,45940,408,99999,999,Hamilton township,88464,36170,87109,34535,88464,87109
3402131620,060,34,021,45940,408,99999,999,Hightstown borough,5494,2108,5216,2081,5494,5216
3402133150,060,34,021,45940,408,99999,999,Hopewell borough,1922,817,2035,836,1922,2035
3402133180,060,34,021,45940,408,99999,999,Hopewell township,17304,6551,16105,5629,17304,16105
3402139510,060,34,021,45940,408,99999,999,Lawrence township,33472,13239,29159,11180,33472,29159
3402157600,060,34,021,45940,408,99999,999,Pennington borough,2585,1083,2696,1040,2585,2696
3402160900,060,34,021,45940,408,99999,999,Princeton borough,12307,3488,14203,3495,12307,14203
